file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,198db6dc,rapatnaik,2025-04-18,21:20:24,-07:00,2025-04-18T21:20:24-07:00,1,23
style.css,54,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,55,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,56,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,4
style.css,57,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,7
style.css,58,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,6
style.css,59,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,12
style.css,60,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,61,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,62,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,8
style.css,63,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,15
style.css,64,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,1,21
style.css,65,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,66,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,67,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,4
style.css,68,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,12
style.css,69,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,30
style.css,70,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,7
style.css,71,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,0
style.css,72,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,0
style.css,73,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,10
style.css,74,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,12
style.css,75,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,29
style.css,76,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,18
style.css,77,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,0
style.css,78,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,0
style.css,79,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,9
style.css,80,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,12
style.css,81,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,58
style.css,82,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,7
style.css,83,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,0
style.css,84,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,0
style.css,85,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,17
style.css,86,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,12
style.css,87,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,26
style.css,88,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,15
style.css,89,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,0
style.css,90,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,0
style.css,91,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,20
style.css,92,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,8
style.css,93,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,0
style.css,94,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,0
style.css,95,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,0,2
style.css,96,css,599d7863,rapatnaik,2025-04-10,01:27:06,-07:00,2025-04-10T01:27:06-07:00,1,14
style.css,97,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
style.css,98,css,bba8e8d1,rapatnaik,2025-04-10,01:03:38,-07:00,2025-04-10T01:03:38-07:00,0,0
